"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\classes\ui\chooseFileType.dart", "Dart", 72, 1, 10, 83
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\classes\ui\shawdow_loading.dart", "Dart", 0, 0, 1, 1
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\classes\user.dart", "Dart", 24, 1, 4, 29
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\customException.dart", "Dart", 24, 0, 8, 32
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\About_The_Game.dart", "Dart", 42, 4, 3, 49
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Actual_Process.dart", "Dart", 45, 24, 3, 72
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Authorization_Request_timeout.dart", "Dart", 70, 16, 7, 93
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Authorization_User_refuse.dart", "Dart", 106, 0, 8, 114
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Authorization_Whats_important.dart", "Dart", 51, 0, 4, 55
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Cloud_Computing.dart", "Dart", 70, 5, 3, 78
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Cloud_Storage.dart", "Dart", 67, 0, 3, 70
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\ExternalLink.dart", "Dart", 42, 0, 3, 45
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Filtering.dart", "Dart", 38, 0, 3, 41
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\OAuth2.dart", "Dart", 81, 0, 3, 84
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Problem_with_OAuth2_and_SSO.dart", "Dart", 89, 21, 3, 113
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\REST_API.dart", "Dart", 105, 0, 3, 108
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Relation_between_action_and_reqtype.dart", "Dart", 91, 4, 3, 98
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\SSL_TLS.dart", "Dart", 69, 15, 4, 88
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\SSO.dart", "Dart", 61, 0, 3, 64
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Third_Party_Application.dart", "Dart", 43, 24, 3, 70
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\What_is_Authoriaztion.dart", "Dart", 70, 0, 7, 77
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\What_is_Encryption.dart", "Dart", 70, 0, 3, 73
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\What_is_POST_GET.dart", "Dart", 75, 0, 3, 78
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\Why_correct_info_important.dart", "Dart", 35, 0, 3, 38
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\documents\show_document.dart", "Dart", 0, 24, 2, 26
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\game_home.dart", "Dart", 141, 20, 24, 185
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\pause.dart", "Dart", 0, 0, 1, 1
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\sprites.dart", "Dart", 0, 0, 1, 1
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\sprites\driveIcon.dart", "Dart", 24, 0, 8, 32
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\sprites\incomingList.dart", "Dart", 24, 0, 7, 31
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\sprites\player.dart", "Dart", 98, 1, 15, 114
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\sprites\workBench.dart", "Dart", 59, 10, 13, 82
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\authorization.dart", "Dart", 13, 0, 4, 17
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\background.dart", "Dart", 27, 0, 5, 32
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\computerPage.dart", "Dart", 868, 17, 65, 950
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\documentsPage.dart", "Dart", 103, 2, 25, 130
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\gameBoard.dart", "Dart", 169, 1, 11, 181
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\gameEmailPage.dart", "Dart", 180, 2, 16, 198
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\googleDriveOnTap.dart", "Dart", 39, 0, 5, 44
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\incoming.dart", "Dart", 132, 0, 13, 145
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\itemList.dart", "Dart", 0, 0, 1, 1
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\pause.dart", "Dart", 57, 0, 6, 63
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\previousBoard.dart", "Dart", 36, 55, 9, 100
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\report.dart", "Dart", 77, 0, 5, 82
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\requestPage\modify.dart", "Dart", 418, 269, 37, 724
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\requestPage\request.dart", "Dart", 980, 55, 27, 1062
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\requestPage\requestApprove.dart", "Dart", 155, 0, 15, 170
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\requestPage\requestAuth.dart", "Dart", 220, 5, 18, 243
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\requestPage\requestClasses.dart", "Dart", 107, 1, 9, 117
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\requestPage\requestContent.dart", "Dart", 403, 11, 16, 430
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\requestPage\requestDeny.dart", "Dart", 228, 2, 20, 250
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\rules\booksPage.dart", "Dart", 9, 0, 3, 12
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\rules\handbook.dart", "Dart", 231, 7, 22, 260
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\startGame.dart", "Dart", 105, 0, 11, 116
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\game\ui\workBench.dart", "Dart", 129, 12, 14, 155
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\global.dart", "Dart", 62, 0, 13, 75
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\login.dart", "Dart", 171, 1, 14, 186
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\main.dart", "Dart", 39, 1, 10, 50
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\static\emails.dart", "Dart", 226, 9, 5, 240
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\static\endDialog.dart", "Dart", 1, 27, 3, 31
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\static\requestsOnBoard.dart", "Dart", 277, 0, 1, 278
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\ui\pages\browsing.dart", "Dart", 0, 0, 1, 1
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\ui\pages\home.dart", "Dart", 37, 0, 6, 43
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\ui\pages\mainpage.dart", "Dart", 85, 16, 11, 112
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\ui\widget\google_drive_block.dart", "Dart", 177, 17, 20, 214
"c:\Users\lauho\source\repos\flutter\drive_easy\lib\ui\widget\onedrive_block.dart", "Dart", 2, 0, 1, 3
"Total", "-", 8753, 702, 742, 10197
